feedback coefficients,min-entropy,Lyapunov exponent,"number of 
different states"
"10100010010000	",0.603323,0.081552,5269
"10000011000100	",0.595978,0.04159,522
"10010000000011	",0.565629,0.052099,3717
"10100000000101	",0.61182,0.088169,5177
"10001011000000	",0.508496,0.074656,2001
"10000101000100	",0.519272,0.096838,1025
"10100000100001	",0.539857,0.072461,5551
"11000010000001	",0.553585,0.087853,7306
"11001100000000	",0.577689,0.106537,7286
"10000001000110	",0.580781,0.048125,279
"10011000100000	",0.700543,0.081072,3723
"10110000100000	",0.660017,0.050824,5694
"10001000001010	",0.714204,0.089722,2039
"10000110100000	",0.605594,0.074499,1032
"10000100001100	",0.480489,0.084252,1020
"10000110000010	",0.519586,0.080349,1043
"10110000001000	",0.581005,0.082169,5605
"10010100100000	",0.627617,0.045732,3718
"11110000000000	",0.553855,0.060536,7342
"10010110000000	",0.506081,0.091536,3634
"11000000010100	",0.487732,0.064286,5825
"10001001000010	",0.58226,0.065504,1943
"11000000010010	",0.588708,0.111522,7255
"10001000000101	",0.617169,0.045008,2060
"10101000100000	",0.541576,0.098642,5674
"10010000000101	",0.554072,0.060066,3582
"10000010101000	",0.634716,0.06491,517
"10000000110001	",0.646502,0.037441,152
"10000011010000	",0.548902,0.052691,519
"10000100000101	",0.705999,0.076902,1063
"10100001000010	",0.621912,0.105731,5402
"10001001001000	",0.544821,0.072926,2017
"11001001000000	",0.607523,0.095825,7083
"11010000000010	",0.553438,0.058837,7445
"11000000000011	",0.590061,0.051187,7257
"10010000100010	",0.621516,0.069898,3756
"10000001100010	",0.672651,0.062444,266
"10000001001100	",0.446503,0.047801,274
"10011000000010	",0.644623,0.09018,3746
"11101000000000	",0.581267,0.106403,7420
"10000010011000	",0.520687,0.072268,528
"11000100000001	",0.665729,0.070784,7348
"10000011100000	",0.589714,0.049571,517
"11100000000001	",0.636006,0.057337,7011
"10001010000001	",0.566971,0.07818,2051
"10100010001000	",0.664707,0.08109,5314
"11000000001010	",0.569868,0.054191,7279
"10110001000000	",0.574547,0.090696,5549
"10100000000110	",0.650001,0.099868,5148
"10001010001000	",0.524419,0.07951,2032
"10000010001010	",0.600504,0.048981,530
"10001000100010	",0.750959,0.071378,2047
"10100100100000	",0.601228,0.072868,5636
"10000010010010	",0.711012,0.068854,532
"10100000010010	",0.5269,0.086561,5439
"10110100000000	",0.533472,0.063026,5674
"10100000100010	",0.57689,0.107109,5454
"10010000010010	",0.554536,0.075529,3718
"10100000100100	",0.473957,0.08322,4480
